Name,Type,Country,Matches,Wickets,Overs,Average,Economy,Strike Rate,Wk/over,Ov/Mtch,Wkpermatch,Balls,Top,Middle,Lower,CBR
"Aaron, Varun R",fast,India,9,18,198.16,52.61,4.78,66.06,0.090863200403837,22.0111111111111,2,1189,44.4,44.4,11.1,12.3278939872053
"Agarkar, Ajit B",fast,India,26,58,809.5,47.33,3.39,83.74,0.071666872605956,31.1269230769231,2.23076923076923,4857,36.2,37.9,25.9,9.14480180246505
"Ambrose, Curtly E L",fast,West Indies,98,405,3683.83,20.99,2.31,54.58,0.109949776028234,37.5867346938776,4.13265306122449,22103,36.3,36,27.7,6.01366428851851
"Benjamin, Kenneth C G",fast,West Indies,26,92,855.33,30.27,3.26,55.78,0.107577174929841,32.8923076923077,3.53846153846154,5132,32.6,41.3,26.1,8.38663393031816
"Benjamin, Winston K M",fast,West Indies,21,61,615.66,27.02,2.68,60.56,0.099122521936952,29.3047619047619,2.9047619047619,3694,27.9,50.8,21.3,7.03141753894186
"Best, Tino L",fast,West Indies,25,57,619.33,40.19,3.7,65.19,0.092054263565892,24.768,2.28,3716,38.6,43.9,17.5,9.6620891194073
"Bishop, Ian R",fast,West Indies,43,161,1411.16,24.29,2.77,52.59,0.114095386577847,32.8162790697674,3.74418604651163,8467,36,35.4,28.6,7.12259069920081
"Bond, Shane E",fast,New Zealand,18,87,562,22.09,3.42,38.76,0.154804270462633,31.2222222222222,4.83333333333333,3372,37.9,44.8,17.2,8.25384860916228
"Rabada, Kagiso",fast,South Africa,11,44,296.33,23.75,3.52,40.4,0.154804270462633,31.2222222222222,4,1778,27.3,43.2,29.5,8.54825918664178
"Butler, Ian G",fast,New Zealand,8,24,228,36.83,3.88,57,0.105263157894737,28.5,3,1368,25,25,50,9.91972965169996
"Cowans, Norman G",fast,England,19,51,575.33,39.27,3.48,67.69,0.088664812239221,30.2736842105263,2.68421052631579,3452,41.2,45.1,13.7,9.15766893893563
"Cuffy, Cameron E",fast,West Indies,15,43,561,33.84,2.59,78.28,0.076648841354724,37.4,2.86666666666667,3366,23.3,41.9,34.9,7.0023782871661
"Daniel, Wayne W",fast,West Indies,10,36,292.33,25.28,3.11,48.72,0.123203285420945,29.22,3.6,1754,19.4,38.9,41.7,7.86110327835567
"Davis, Heath Te-Ihi-O-Te-Ra",fast,New Zealand,5,17,168.33,29.35,2.96,59.41,0.101070154577883,33.64,3.4,1010,11.8,52.9,35.3,7.71720912308637
"Davis, Winston W",fast,West Indies,15,45,462.16,32.71,3.18,61.62,0.097381519151699,30.8066666666667,3,2773,26.7,40,33.3,8.3041397457444
"Dilley, Graham R",fast,England,41,138,1365.33,29.76,3.01,59.36,0.101084090243188,33.2975609756098,3.36585365853659,8192,41.3,32.6,26.1,7.83956230494443
"Donald, Allan A",fast,South Africa,72,330,2586.5,22.25,2.84,47.03,0.127595406565364,35.9208333333333,4.58333333333333,15519,39.1,34.8,26.1,7.17155154710202
"Drakes, Vasbert C",fast,West Indies,12,33,436.16,41.27,3.12,79.3,0.075670717725292,36.3416666666667,2.75,2617,45.5,36.4,18.2,8.39504068278967
"Edwards, Fidel H",fast,West Indies,55,165,1601.16,37.87,3.9,58.22,0.103054150271688,29.1109090909091,3,9607,39.4,35.8,24.8,10.0002463150053
"Gillespie, Jason N",fast,Australia,71,259,2372.33,26.14,2.85,54.96,0.109181350644971,33.4112676056338,3.64788732394366,14234,37.5,38.6,23.9,7.36507566243076
"Gray, Anthony H",fast,West Indies,5,22,148,17.14,2.55,40.36,0.148648648648649,29.6,4.4,888,22.7,45.5,31.8,6.31210948915034
"Harris, Ryan J",fast,Australia,27,113,956,23.52,2.78,50.76,0.118200836820084,35.4074074074074,4.18518518518519,5736,35.4,37.2,27.4,7.11018771562103
"Hayward, Mornantau",fast,South Africa,16,54,470.16,29.8,3.42,52.24,0.1148691767709,29.38125,3.375,2821,37,33.3,29.6,8.69320478729773
"Hughes, Mervyn G",fast,Australia,53,212,2047.5,28.38,2.94,57.95,0.103551018414497,38.6283018867924,4,12285,32.5,34.9,32.5,7.64081269840066
Imran Khan,fast,Pakistan,7,20,174.5,28.1,3.22,52.35,0.114744693057946,24.9,2.85714285714286,1047,30,40,30,8.2135885309615
"Johnson, Mitchell G",fast,Australia,73,313,2666.83,28.41,3.33,51.12,0.117382336396025,36.527397260274,4.28767123287671,16001,31.9,39.6,28.4,8.44925263725603
Junaid Khan,fast,Pakistan,22,71,767.5,31.73,2.94,64.86,0.092532255962466,34.8772727272727,3.22727272727273,4605,36.6,42.3,21.1,7.75054022438427
"Lawrence, David V",fast,England,5,18,181.5,37.56,3.72,60.5,0.099282956425814,36.26,3.6,1089,33.3,44.4,22.2,9.61630315484457
"Lawson, Geoffrey F",fast,Australia,46,180,1853,30.56,2.97,61.77,0.097139773340529,40.2826086956522,3.91304347826087,11118,37.2,40.6,22.2,7.7798421202572
"Lee, Brett",fast,Australia,76,310,2755.16,30.82,3.47,53.33,0.112518601865631,36.2513157894737,4.07894736842105,16531,36.5,36.8,26.8,8.83959476885859
"Malcolm, Devon E",fast,England,40,128,1413.33,37.09,3.36,66.25,0.090574582507784,35.33,3.2,8480,38.3,35.9,25.8,8.83197609614686
